JY1   9.90e-001     7.23e-004 
JY2   9.96e-001     6.49e-004 
JY3   7.01e-001     2.17e-003 
JY4   9.57e-001     5.13e-003 
JY5   9.92e-001     1.18e-003 
JY6   1.00e+000     1.46e-004 
JY7   9.88e-001     2.80e-003 
JY8   9.10e-001     7.09e-003 
JY9   9.91e-001     1.02e-003 
